City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,ouallam,14.3188,2.0866,30.22,9,72,4.44,NE,1680381217
311,caldwell,43.6629,-116.6874,7.77,78,100,9.26,US,1680380975
312,san cristobal,7.7669,-72.225,19.1,92,100,1.65,VE,1680381006
313,berlevag,70.8578,29.0864,-3.03,74,100,11.83,NO,1680381218
314,abonnema,4.7084,6.7931,27.16,85,97,2.46,NG,1680381218
315,khabary,53.6259,79.5345,-8.99,86,28,2.31,RU,1680381218
316,daru,-9.0763,143.2092,26.11,85,49,1.63,PG,1680381218
317,provideniya,64.3833,-173.3,-7.02,90,98,3.96,RU,1680381218
318,morgan city,29.6994,-91.2068,28.89,51,100,2.69,US,1680381032
319,padang,-0.9492,100.3543,24.25,86,100,1.49,ID,1680381219
320,ulaangom,49.9811,92.0667,-12.99,60,79,2.9,MN,1680381219
321,nanortalik,60.1432,-45.2371,-2.49,82,15,1.75,GL,1680381219
322,parabel,58.6978,81.4825,-4.01,83,100,5.82,RU,1680381219
323,kavaratti,10.5669,72.642,27.33,68,6,3.12,IN,1680381220
324,tarko-sale,64.9225,77.785,0.47,98,100,10.25,RU,1680381129
325,lavrentiya,65.5833,-171.0,-3.36,92,100,3.22,RU,1680381220
326,manicore,-5.8092,-61.3003,23.76,96,100,0.81,BR,1680381220
327,tortoli,39.9256,9.6572,14.9,33,0,10.29,IT,1680381220
328,decatur,39.8403,-88.9548,5.92,75,100,8.23,US,1680381220
329,leningradskiy,69.3833,178.4167,-16.07,92,100,12.51,RU,1680380952
330,ledegem,50.8738,3.1513,8.38,87,100,6.01,BE,1680381221
331,bereda,43.2686,-7.5406,3.97,90,9,0.89,ES,1680381221
332,yenagoa,4.9247,6.2642,25.18,88,90,2.22,NG,1680381221
333,abu zabad,12.35,29.25,23.85,10,87,5.05,SD,1680381221
334,caranavi,-15.8167,-67.55,23.18,80,91,1.23,BO,1680381221
335,aswan,24.0934,32.907,21.61,19,0,2.06,EG,1680381221
336,baculin,7.4525,126.5842,24.73,87,99,2.47,PH,1680381222
337,sao felix do xingu,-6.6447,-51.995,25.8,87,73,0.9,BR,1680381222
338,bukan,36.521,46.2089,-0.46,74,4,2.51,IR,1680381222
339,namatanai,-3.6667,152.4333,25.95,78,100,1.38,PG,1680381222
340,purpe,64.4803,76.6897,1.1,89,100,10.96,RU,1680381222
341,katherine,-14.4667,132.2667,23.18,78,21,2.06,AU,1680381222
342,kununurra,-15.7667,128.7333,24.99,88,5,2.57,AU,1680381020
343,susuman,62.7833,148.1667,-9.93,94,100,0.81,RU,1680381223
344,honningsvag,70.9821,25.9704,-2.14,69,100,8.75,NO,1680381223
345,celestun,20.8667,-90.4,29.69,62,30,6.75,MX,1680381223
346,lekoni,-1.5843,14.2591,25.46,69,49,1.43,GA,1680381223
347,antalaha,-14.9003,50.2788,24.25,87,64,2.23,MG,1680381223
348,sabang,5.8933,95.3214,27.58,75,96,3.02,ID,1680381224
349,opuwo,-18.0607,13.84,23.08,39,95,1.93,NA,1680381224
350,traverse city,44.7631,-85.6206,1.58,75,100,7.72,US,1680381050
351,goundam,16.4145,-3.6708,28.27,6,0,4.75,ML,1680381224
352,kalakamati,-20.5929,27.3121,19.75,61,11,3.17,BW,1680381224
353,humen,22.819,113.6731,24.68,87,100,2.85,CN,1680381224
354,pinega,64.7001,43.3936,-12.76,97,99,1.62,RU,1680381224
355,iquitos,-3.7481,-73.2472,26.02,83,75,1.54,PE,1680381225
356,sao raimundo nonato,-9.0153,-42.6994,31.75,35,100,1.43,BR,1680380726
357,maniitsoq,65.4167,-52.9,-5.97,54,72,2.84,GL,1680381225
358,hami,42.8,93.45,0.67,23,100,5.97,CN,1680381225
359,kloulklubed,7.0419,134.2556,28.35,73,85,1.73,PW,1680381226
360,san patricio,28.017,-97.5169,31.2,52,98,5.83,US,1680381117
361,booue,-0.0921,11.9385,23.27,95,46,0.84,GA,1680381226
362,nantucket,41.2835,-70.0995,12.08,98,100,11.32,US,1680381226
363,cabimas,10.3883,-71.4399,28.87,64,95,4.31,VE,1680380723
364,aden,12.7794,45.0367,28.03,79,5,2.56,YE,1680381185
365,ushtobe,45.2514,77.9838,-4.23,35,0,11.71,KZ,1680381227
366,wolomin,52.3401,21.2421,8.91,91,100,4.87,PL,1680381227
